Sample equal_delay orig_delay nn_delay gain
93 1.973174e+01 2.130870e+01 1.647159e+01 2.270018e-01
94 1.968571e+01 2.153870e+01 1.634729e+01 2.410270e-01
95 1.968095e+01 2.131607e+01 1.630333e+01 2.351627e-01
96 1.975745e+01 2.141078e+01 1.623075e+01 2.419357e-01
97 1.969127e+01 2.112957e+01 1.602110e+01 2.417687e-01
98 1.943851e+01 2.112441e+01 1.568831e+01 2.573376e-01
99 1.982948e+01 2.121047e+01 1.634160e+01 2.295502e-01
100 1.970120e+01 2.095520e+01 1.614461e+01 2.295653e-01
101 1.981615e+01 2.070992e+01 1.627618e+01 2.140877e-01
102 1.972109e+01 2.049907e+01 1.631466e+01 2.041265e-01
103 1.975562e+01 2.093429e+01 1.641039e+01 2.160999e-01
104 1.987973e+01 2.170298e+01 1.694127e+01 2.194035e-01
105 1.980110e+01 2.144061e+01 1.656662e+01 2.273251e-01
106 1.963282e+01 2.153905e+01 1.627883e+01 2.442179e-01
107 1.992777e+01 2.168298e+01 1.679247e+01 2.255458e-01
108 1.997409e+01 2.178101e+01 1.681472e+01 2.280100e-01
109 1.995048e+01 2.185495e+01 1.669110e+01 2.362786e-01
110 1.977736e+01 2.150645e+01 1.650658e+01 2.324823e-01
111 1.996785e+01 2.162454e+01 1.668700e+01 2.283304e-01
112 1.985817e+01 2.158205e+01 1.654108e+01 2.335722e-01
113 1.991243e+01 2.146985e+01 1.673171e+01 2.206877e-01
114 2.023680e+01 2.206798e+01 1.729401e+01 2.163302e-01
115 2.022962e+01 2.239312e+01 1.697501e+01 2.419540e-01
116 1.995396e+01 2.226694e+01 1.637556e+01 2.645796e-01
117 2.013026e+01 2.227457e+01 1.674884e+01 2.480735e-01
118 1.994857e+01 2.219148e+01 1.664078e+01 2.501277e-01
119 2.021356e+01 2.185970e+01 1.681170e+01 2.309275e-01
120 2.023889e+01 2.210509e+01 1.678367e+01 2.407329e-01
121 2.001717e+01 2.210255e+01 1.640091e+01 2.579632e-01
122 1.985393e+01 2.188890e+01 1.680910e+01 2.320718e-01
123 2.009852e+01 2.168056e+01 1.703648e+01 2.142045e-01
124 1.993482e+01 2.159534e+01 1.676923e+01 2.234794e-01
125 2.027486e+01 2.163009e+01 1.730217e+01 2.000877e-01
